,index,model,root,type,latency,probability,cost,#task,tasks
155,156,mask_rcnn_R_50_FPN_1x,COCO-InstanceSegmentation,detr2,4,0.6920000000000001,31,16,motorcycle truck fire_hydrant dog backpack skateboard spoon chair potted_plant bed toilet laptop toaster sink scissors hair_drier
156,157,mask_rcnn_R_50_FPN_1x,COCO-InstanceSegmentation,detr2,31,0.732,31,15,person train truck boat bird giraffe skateboard surfboard knife hot_dog donut bed laptop toaster scissors
157,158,mask_rcnn_R_50_FPN_1x,COCO-InstanceSegmentation,detr2,35,0.737,31,14,car bench tie suitcase frisbee snowboard surfboard fork pizza dining_table microwave oven teddy_bear toothbrush
158,159,mask_rcnn_R_50_FPN_1x,COCO-InstanceSegmentation,detr2,44,0.7490000000000001,31,15,airplane truck bird umbrella skis baseball_bat fork spoon bowl apple sandwich hot_dog remote toaster teddy_bear
159,160,mask_rcnn_R_50_FPN_1x,COCO-InstanceSegmentation,detr2,14,0.708,31,11,train stop_sign parking_meter suitcase snowboard carrot pizza cake bed dining_table hair_drier
160,161,mask_rcnn_X_101_32x8d_FPN_3x,COCO-InstanceSegmentation,detr2,49,0.8029999999999999,73,11,car truck traffic_light bench baseball_bat orange carrot pizza chair tv sink
161,162,mask_rcnn_X_101_32x8d_FPN_3x,COCO-InstanceSegmentation,detr2,41,0.794,73,20,bicycle motorcycle parking_meter bird dog horse sheep elephant zebra backpack suitcase tennis_racket cup fork spoon broccoli couch toilet toaster scissors
162,163,mask_rcnn_X_101_32x8d_FPN_3x,COCO-InstanceSegmentation,detr2,9,0.758,73,11,airplane dog handbag tie skis knife orange pizza cake couch keyboard
163,164,mask_rcnn_X_101_32x8d_FPN_3x,COCO-InstanceSegmentation,detr2,20,0.7709999999999999,73,21,bus parking_meter bench cat dog sheep cow elephant zebra giraffe tie fork knife bowl sandwich hot_dog donut remote vase teddy_bear toothbrush
164,165,mask_rcnn_X_101_32x8d_FPN_3x,COCO-InstanceSegmentation,detr2,32,0.785,73,16,bicycle parking_meter bench cat handbag tie frisbee snowboard kite baseball_bat wine_glass sandwich chair bed oven teddy_bear
